epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8334,1.03297,1.31174,0.99464,1.27666,0,0.03444,0.20543,0.02589,0.01224,0.02455,0.0366,0.00726,0.00164,3.16333,7.26042,4.44571,4.22718,0,0.00330769,0.00330769,0.0702308
2,85.4593,0.90918,0.93842,0.66523,1.18109,0,0.55978,0.45927,0.45004,0.27784,0.56289,0.46989,0.46818,0.26831,1.71571,2.11427,1.92417,1.97611,0,0.00647666,0.00647666,0.0400664
3,126.249,0.76948,0.8111,0.55851,1.0865,0,0.84093,0.94245,0.93947,0.74141,0.84198,0.94364,0.93954,0.76543,0.83856,0.73027,1.01381,1.28795,0,0.00948063,0.00948063,0.00973704
4,166.703,0.68359,0.71182,0.51758,1.03637,0,0.90184,0.93743,0.9436,0.80281,0.90449,0.94097,0.95301,0.79477,0.63276,0.69187,0.60615,1.0971,0,0.0092575,0.0092575,0.0092575
5,207.173,0.62884,0.67904,0.46966,1.01052,0,0.94797,0.99764,0.96389,0.86638,0.94797,0.99764,0.96389,0.84187,0.49052,0.49752,0.50047,0.95058,0,0.00901,0.00901,0.00901
6,247.971,0.58529,0.63056,0.45219,0.98521,0,0.95122,1,0.97445,0.90471,0.95122,1,0.97445,0.87532,0.41969,0.42328,0.42551,0.88997,0,0.0087625,0.0087625,0.0087625
7,288.363,0.54616,0.596,0.42243,0.95846,0,0.94792,0.99646,0.95694,0.89229,0.94792,0.99646,0.95694,0.86824,0.40077,0.39101,0.41025,0.88951,0,0.008515,0.008515,0.008515
8,328.358,0.5214,0.56385,0.40451,0.9466,0,0.94838,1,0.96833,0.91323,0.94838,1,0.96833,0.88922,0.36733,0.35925,0.39056,0.86292,0,0.0082675,0.0082675,0.0082675
9,368.7,0.51003,0.56342,0.39454,0.94071,0,0.95154,1,0.96571,0.911,0.95154,1,0.96571,0.86403,0.37287,0.44356,0.38386,0.86139,0,0.00802,0.00802,0.00802
10,409.134,0.48632,0.54551,0.37069,0.93163,0,0.95145,1,0.97393,0.94006,0.95145,1,0.97393,0.89822,0.32093,0.34328,0.35519,0.83328,0,0.0077725,0.0077725,0.0077725
11,449.412,0.47319,0.51814,0.36445,0.92167,0,0.95104,1,0.97025,0.93663,0.95104,1,0.97025,0.89018,0.2979,0.36294,0.35014,0.81923,0,0.007525,0.007525,0.007525
12,489.524,0.45299,0.52295,0.36217,0.91937,0,0.94994,1,0.96849,0.92882,0.94994,1,0.96849,0.89297,0.31051,0.32868,0.34882,0.82874,0,0.0072775,0.0072775,0.0072775
13,529.676,0.44037,0.50022,0.35565,0.91285,0,0.95323,1,0.9734,0.94674,0.95323,1,0.9734,0.90301,0.30755,0.34477,0.3398,0.82568,0,0.00703,0.00703,0.00703
14,570.574,0.43052,0.49376,0.33305,0.90556,0,0.96134,1,0.98247,0.95276,0.96134,1,0.98247,0.90815,0.29501,0.32918,0.30913,0.81192,0,0.0067825,0.0067825,0.0067825
15,611.576,0.41653,0.48202,0.32984,0.89967,0,0.95198,1,0.97386,0.94943,0.95198,1,0.97386,0.91528,0.27046,0.31042,0.30127,0.79786,0,0.006535,0.006535,0.006535
16,652.337,0.40307,0.47177,0.30828,0.89769,0,0.97018,1,0.98332,0.9568,0.97018,1,0.98332,0.92326,0.28179,0.30813,0.28381,0.80585,0,0.0062875,0.0062875,0.0062875
17,693.347,0.40228,0.47313,0.30829,0.89439,0,0.96578,0.99974,0.98413,0.96407,0.96578,0.99974,0.98413,0.91802,0.2536,0.30716,0.27889,0.8006,0,0.00604,0.00604,0.00604
18,734.249,0.39284,0.45829,0.29531,0.89119,0,0.98363,1,0.98826,0.96957,0.98363,1,0.98826,0.931,0.25687,0.29287,0.25454,0.80154,0,0.0057925,0.0057925,0.0057925
19,774.977,0.38391,0.45006,0.30091,0.88642,0,0.98695,1,0.98619,0.96734,0.98695,1,0.98619,0.92704,0.24665,0.30605,0.23835,0.79049,0,0.005545,0.005545,0.005545
20,815.257,0.36558,0.44957,0.28241,0.87742,0,0.97627,1,0.98544,0.97243,0.97627,1,0.98544,0.92518,0.2355,0.29244,0.24681,0.78806,0,0.0052975,0.0052975,0.0052975
21,855.552,0.36618,0.43939,0.28332,0.8842,0,0.96554,1,0.98054,0.9656,0.96554,1,0.98054,0.927,0.25732,0.29945,0.27007,0.78922,0,0.00505,0.00505,0.00505
22,895.82,0.35946,0.43229,0.27806,0.88028,0,0.9864,1,0.98712,0.97775,0.9864,1,0.98712,0.93476,0.22557,0.293,0.2214,0.78193,0,0.0048025,0.0048025,0.0048025
23,936.236,0.34946,0.42394,0.26499,0.87561,0,0.98255,1,0.98539,0.97534,0.98255,1,0.98539,0.9289,0.23453,0.29175,0.22288,0.78247,0,0.004555,0.004555,0.004555
24,976.707,0.34181,0.42059,0.25912,0.86777,0,0.97908,1,0.98913,0.98245,0.97908,1,0.98913,0.9434,0.20333,0.27691,0.21137,0.7739,0,0.0043075,0.0043075,0.0043075
25,1017.31,0.33546,0.41961,0.26484,0.8695,0,0.98676,1,0.98806,0.98226,0.98676,1,0.98806,0.94324,0.20813,0.27551,0.2062,0.77572,0,0.00406,0.00406,0.00406
26,1057.69,0.32738,0.40564,0.25921,0.86805,0,0.98588,1,0.98725,0.97894,0.98588,1,0.98725,0.92445,0.21638,0.2907,0.2092,0.77599,0,0.0038125,0.0038125,0.0038125
27,1097.86,0.3191,0.40256,0.24314,0.86568,0,0.98709,1,0.98692,0.98472,0.98709,1,0.98692,0.94125,0.1846,0.27153,0.18776,0.76606,0,0.003565,0.003565,0.003565
