epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3707,0,0,11.1437,0,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0,0.00330097,0.00330097,0.0702913
2,81.8044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641537,0.00641537,0.0400723
3,109.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00930977,0.00930977,0.0096334
4,137.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
5,165.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
6,193.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
7,221.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
8,249.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769,0.00769,0.00769
9,277.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
10,305.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
11,333.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0.0067,0.0067
12,360.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637,0.00637,0.00637
13,388.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
14,416.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571,0.00571,0.00571
15,444.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00538,0.00538,0.00538
16,472.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
17,500.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472,0.00472,0.00472
18,528.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00439,0.00439,0.00439
19,556.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
20,583.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373,0.00373,0.00373
21,612.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0.0034,0.0034
22,641.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
23,669.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00274,0.00274,0.00274
24,696.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241,0.00241,0.00241
25,724.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
26,753.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0.00175,0.00175
27,780.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142,0.00142,0.00142
28,808.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
29,836.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076,0.00076,0.00076
30,864.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043,0.00043,0.00043
