epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,302.642,1.03333,1.36151,0.71353,1.11351,0,0.92285,0.97092,0.95914,0.74039,0.92317,0.97125,0.95888,0.73391,0.96647,1.26341,0.57559,1.16067,0,0.00332945,0.00332945,0.0700349
2,590.918,0.9605,1.21615,0.5417,1.078,0,0.94802,0.97216,0.98269,0.79388,0.94846,0.97263,0.98303,0.77033,0.88983,1.10738,0.50066,1.10488,0,0.00644291,0.00644291,0.0398151
3,875.274,0.91423,1.14501,0.49433,1.05507,0,0.96459,0.99283,0.98393,0.81604,0.9649,0.99314,0.98404,0.78696,0.81257,1.02694,0.41627,1.06738,0,0.00933638,0.00933638,0.00937518
4,1157.67,0.8769,1.09629,0.45401,1.03584,0,0.96951,0.98615,0.98996,0.8199,0.96964,0.98627,0.99017,0.787,0.82931,1.04491,0.40697,1.07565,0,0.00901,0.00901,0.00901
5,1441.25,0.85212,1.06712,0.43285,1.02775,0,0.97932,0.98565,0.99146,0.84344,0.97925,0.98558,0.99146,0.81241,0.76932,0.96926,0.37052,1.04399,0,0.00868,0.00868,0.00868
6,1724.37,0.82797,1.03773,0.41647,1.01773,0,0.98074,0.9835,0.99102,0.83663,0.98076,0.98386,0.99104,0.80805,0.77873,0.97541,0.36973,1.04533,0,0.00835,0.00835,0.00835
7,2008.33,0.8042,1.01233,0.39741,1.00297,0,0.97079,0.99185,0.98788,0.85101,0.97062,0.99196,0.98791,0.81494,0.74678,0.95429,0.36817,1.02243,0,0.00802,0.00802,0.00802
8,2292.87,0.78951,0.99099,0.38859,0.99915,0,0.97403,0.9917,0.9915,0.85911,0.97409,0.99176,0.99151,0.82905,0.71819,0.91139,0.34125,1.01164,0,0.00769,0.00769,0.00769
9,2576.32,0.77413,0.96771,0.3766,0.99044,0,0.98673,0.98434,0.99066,0.861,0.9867,0.98456,0.99066,0.82525,0.71454,0.91179,0.32797,1.00642,0,0.00736,0.00736,0.00736
10,2859.06,0.75891,0.95596,0.369,0.98437,0,0.98742,0.98195,0.99174,0.86695,0.98786,0.98241,0.99183,0.8308,0.69645,0.89482,0.3166,1.00104,0,0.00703,0.00703,0.00703
11,3144.61,0.74687,0.9387,0.36441,0.98179,0,0.98323,0.9881,0.99166,0.8668,0.98316,0.98809,0.99166,0.8304,0.6899,0.87911,0.31357,0.99565,0,0.0067,0.0067,0.0067
12,3429.23,0.73402,0.92333,0.35426,0.97102,0,0.98632,0.98268,0.99258,0.87239,0.98646,0.98313,0.99268,0.83754,0.67155,0.85771,0.30865,0.9836,0,0.00637,0.00637,0.00637
13,3713.31,0.72254,0.91011,0.34803,0.96585,0,0.98668,0.98315,0.99243,0.87635,0.98619,0.98422,0.99245,0.84128,0.65932,0.84351,0.29809,0.97965,0,0.00604,0.00604,0.00604
